,event_date,country,counts,population,events_per_capita,gdp_per_capita,Western,Asia,South America,public_trust_percentage,living_under_2_dollar_percentage
0,2021,Australia,681,25685412,2.6513104014060587,60697.2454358579,1,0,0,51.9,
1,2022,Australia,794,26005540,3.053195588324641,65099.8459118981,1,0,0,49.9,
2,2020,Austria,354,8916864,3.970005598380776,48789.4978498872,1,0,0,62.6,0.6
3,2021,Austria,562,8955797,6.275265060161591,53517.8904509612,1,0,0,61.0,0.4
4,2022,Austria,294,9041851,3.2515466136303286,52084.6811953372,1,0,0,61.0,
5,2020,Belgium,784,11538604,6.7945827762179904,45609.0034936111,1,0,0,29.5,0.0
6,2021,Belgium,833,11586195,7.189590715502372,51850.3971840229,1,0,0,47.3,0.0
7,2022,Belgium,523,11685814,4.475511932673239,49926.8254295305,1,0,0,57.2,
8,2018,Brazil,6549,210166592,3.1160994417228784,9121.02099480377,0,0,1,16.8,2.0
9,2019,Brazil,3346,211782878,1.579919978233557,8845.32414932264,0,0,1,34.1,2.1
10,2020,Brazil,2514,213196304,1.1791949263810877,6923.6999117682,0,0,1,36.2,0.7
11,2021,Brazil,4060,214326223,1.8943085653126077,7696.78483012849,0,0,1,32.7,2.1
12,2022,Brazil,3728,215313498,1.7314288396354975,8917.67491057495,0,0,1,39.2,1.2
13,2021,Canada,1691,38226498,4.423633051607291,52515.1998350503,1,0,0,61.0,
14,2022,Canada,1828,38929902,4.695619321106947,55522.445687688,1,0,0,50.7,
15,2018,Chile,1033,18701450,5.523635867807042,15820.0333571155,0,0,1,33.5,
16,2019,Chile,1590,19039485,8.351066218440257,14632.6903076927,0,0,1,15.3,
17,2020,Chile,1048,19300315,5.4299631897199605,13173.7847941723,0,0,1,17.1,0.9
18,2021,Chile,880,19493184,4.514398468716039,16240.6077759729,0,0,1,23.2,
19,2022,Chile,927,19603733,4.728691214066219,15355.4797401048,0,0,1,28.7,0.3
20,2018,Colombia,406,49276961,0.8239144455357139,6782.03792033195,0,0,1,27.5,1.8
21,2019,Colombia,624,50187406,1.243339813179426,6436.50921529527,0,0,1,32.8,2.1
22,2020,Colombia,686,50930662,1.3469292820109033,5304.28912886641,0,0,1,37.4,4.5
23,2021,Colombia,2283,51516562,4.431584545568083,6182.70709867964,0,0,1,28.9,3.0
24,2022,Colombia,1364,51874024,2.629447061982313,6624.16539269075,0,0,1,29.7,2.5
25,2018,Costa Rica,299,5040734,5.93167582340191,12383.1499522763,0,0,0,48.0,0.6
26,2019,Costa Rica,335,5084532,6.588610318511124,12669.3411549351,0,0,0,28.3,0.4
27,2020,Costa Rica,565,5123105,11.028468087224446,12179.2566735195,0,0,0,29.8,0.9
28,2021,Costa Rica,192,5153957,3.7252930127278905,12604.0488374731,0,0,0,31.5,0.4
29,2022,Costa Rica,164,5180829,3.165516561152665,13365.3563992692,0,0,0,60.0,0.3
30,2020,Denmark,561,5831404,9.620324710824358,60836.5924121638,1,0,0,71.6,0.1
31,2021,Denmark,828,5856733,14.137574651260353,69268.6517983134,1,0,0,65.2,0.1
32,2022,Denmark,371,5903037,6.284900467335713,67790.0539923276,1,0,0,63.5,
33,2020,Estonia,141,1329522,10.605315293767234,23595.2436836441,1,0,0,46.5,0.2
