event_date,country,counts,population,events_per_capita,gdp_per_capita
2021,Australia,681,25685412,2.6513104014060587,60697.2454358579
2022,Australia,794,26005540,3.053195588324641,65099.8459118981
2020,Belgium,784,11538604,6.7945827762179904,45609.0034936111
2021,Belgium,833,11586195,7.189590715502372,51850.3971840229
2022,Belgium,523,11685814,4.475511932673239,49926.8254295305
2020,France,5165,67571107,7.643799590259785,39179.7442596057
2021,France,8356,67764304,12.33097590731545,43671.3084099631
2022,France,6421,67971311,9.446632565318623,40886.2532680273
2020,Germany,4292,83160871,5.161081105078853,46749.4762280016
2021,Germany,4215,83196078,5.06634459379203,51426.7503654421
2022,Germany,4770,83797985,5.6922609773970105,48717.9911402128
2020,Italy,5488,59438851,9.233018316588925,31922.9191626183
2021,Italy,7367,59133173,12.458320137835322,36449.2583375837
2022,Italy,4594,58940425,7.794310950421549,34776.423234274
2020,Spain,3348,47365655,7.068412756035993,26984.2962770279
2021,Spain,4405,47415794,9.29015340331536,30488.8209528797
2022,Spain,3816,47778340,7.986882759007533,29674.5442864413
2020,United Kingdom,2196,67081234,3.273642819391188,40217.0090116986
2021,United Kingdom,1585,67026292,2.3647436740197416,46869.759058411
2022,United Kingdom,1745,66971395,2.6055900433311865,46125.2557513568
2020,United States,21585,331511512,6.511086106717163,63528.6343027508
2021,United States,13147,332031554,3.959563433540416,70219.472454115
2022,United States,12183,333287557,3.6554019927002557,76329.5822652029
